,month_number,party,speech_time
0,1,0,0.5993333333333333
1,1,GPO,0.5602222222222222
2,1,IND,0.1318888888888889
3,1,LIB,3.374
4,1,NDP,21.51877777777778
5,1,PCP,34.75911111111111
6,2,0,0.015222222222222222
7,2,GPO,0.2008888888888889
8,2,IND,0.36077777777777775
9,2,LIB,1.931111111111111
10,2,NDP,5.732333333333333
11,2,PCP,10.694444444444445
12,3,0,0.04577777777777778
13,3,GPO,0.26366666666666666
14,3,IND,0.08477777777777777
15,3,LIB,1.4297777777777778
16,3,NDP,8.269444444444444
17,3,PCP,9.942
18,4,0,0.029333333333333333
19,4,GPO,0.6637777777777778
20,4,IND,0.20177777777777778
21,4,LIB,4.049777777777778
22,4,NDP,33.492333333333335
23,4,PCP,39.22266666666667
24,5,0,0.09744444444444444
25,5,GPO,0.4287777777777778
26,5,IND,0.14755555555555555
27,5,LIB,1.8138888888888889
28,5,NDP,11.729555555555555
29,5,PCP,14.376888888888889
30,7,0,0.012
31,7,GPO,0.18611111111111112
32,7,IND,0.08077777777777778
33,7,LIB,2.2945555555555557
34,7,NDP,11.395555555555555
35,7,PCP,15.331666666666667
36,8,0,0.06633333333333333
37,8,GPO,0.8997777777777778
38,8,IND,0.42877777777777776
39,8,LIB,4.248
40,8,NDP,36.766222222222225
41,8,PCP,42.17177777777778
42,9,0,0.021111111111111112
43,9,GPO,0.3536666666666667
44,9,IND,0.09177777777777778
45,9,LIB,3.911
46,9,NDP,30.223
47,9,PCP,39.69611111111111
48,10,0,0.06988888888888889
49,10,GPO,0.8374444444444444
50,10,IND,0.32455555555555554
51,10,LIB,2.9672222222222224
52,10,NDP,25.414444444444445
53,10,PCP,33.559444444444445
54,11,0,0.050666666666666665
55,11,GPO,0.40611111111111114
56,11,IND,0.059333333333333335
57,11,LIB,1.1074444444444445
58,11,NDP,12.403777777777778
59,11,PCP,16.152444444444445
60,14,0,0.0011111111111111111
61,14,GPO,0.2461111111111111
62,14,IND,0.06622222222222222
63,14,LIB,0.947
64,14,NDP,6.9527777777777775
65,14,PCP,8.006777777777778
66,15,0,0.08700000000000001
67,15,GPO,0.9581111111111111
68,15,IND,0.10188888888888889
69,15,LIB,3.703333333333333
70,15,NDP,26.41011111111111
71,15,PCP,40.07911111111111
72,16,0,0.07433333333333333
73,16,GPO,0.589
74,16,IND,0.09311111111111112
75,16,LIB,5.142333333333333
76,16,NDP,33.535666666666664
77,16,PCP,34.88
78,17,0,0.062000000000000006
79,17,GPO,0.37822222222222224
80,17,IND,0.041777777777777775
81,17,LIB,1.0358888888888889
82,17,NDP,7.988222222222222
83,17,PCP,9.18588888888889
84,19,0,0.025777777777777778
85,19,GPO,0.9526666666666666
86,19,IND,0.08322222222222223
87,19,LIB,2.659777777777778
88,19,NDP,16.249333333333333
89,19,PCP,18.019222222222222
90,20,0,0.023555555555555555
91,20,GPO,0.891
92,20,IND,0.13844444444444445
93,20,LIB,3.136888888888889
94,20,NDP,23.902
95,20,PCP,31.46211111111111
